Time, RPM
55.803, 0
55.823, 0
55.843, 0
55.863, 0
55.883, 0
55.903, 0
55.923, 0
55.943, 0
55.963, 0
55.983, 0
56.003, 0
56.023, 0
56.043, 0
56.063, 0
56.083, 0
56.103, 0
56.123, 0
56.143, 0
56.163, 0
56.183, 0
56.203, 0
56.223, 0
56.243, 0
56.263, 0
56.283, 0
56.303, 0
56.323, 0
56.343, 0
56.363, 0
56.383, 0
56.403, 0
56.423, 0
56.443, 0
56.463, 0
56.483, 0
56.503, 0
56.523, 0
56.543, 0
56.563, 0
56.583, 0
56.603, 0
56.623, 0
56.643, 0
56.663, 0
56.683, 0
56.703, 0
56.723, 0
56.743, 0
56.763, 0
56.783, 0
56.803, 0
56.823, 0
56.843, 0
56.863, 0
56.883, 0
56.903, 0
56.923, 0
56.943, 0
56.963, 0
56.983, 0
57.003, 0
57.023, 0
57.043, 0
57.063, 0
57.083, 0
57.103, 0
57.123, 0
57.143, 0
57.163, 0
57.183, 0
57.203, 0
57.223, 0
57.243, 0
57.263, 0
57.283, 0
57.303, 165.714
57.323, 165.714
57.343, 588.571
57.363, 588.571
57.383, 1165.71
57.403, 1817.14
57.423, 1817.14
57.443, 2508.57
57.463, 3217.14
57.483, 3217.14
57.503, 3931.43
57.523, 4657.14
57.543, 4657.14
57.563, 5217.14
57.583, 5525.71
57.603, 5525.71
57.623, 5674.29
57.643, 5674.29
57.663, 5754.29
57.683, 5794.29
57.703, 5794.29
57.723, 5817.14
57.743, 5834.29
57.763, 5834.29
57.783, 5845.71
57.803, 5851.43
57.823, 5851.43
57.843, 5851.43
57.863, 5851.43
57.883, 5857.14
57.903, 5857.14
57.923, 5857.14
57.943, 5857.14
57.963, 5857.14
57.983, 5857.14
58.003, 5862.86
58.023, 5857.14
58.043, 5857.14
58.063, 5857.14
58.083, 5857.14
58.103, 5857.14
58.123, 5862.86
58.143, 5862.86
58.163, 5862.86
58.183, 5862.86
58.203, 5862.86
58.223, 5862.86
58.243, 5857.14
58.263, 5857.14
58.283, 5857.14
58.303, 5862.86
58.323, 5862.86
58.343, 5862.86
58.363, 5862.86
58.383, 5857.14
58.403, 5857.14
58.423, 5857.14
58.443, 5857.14
58.463, 5862.86
58.483, 5862.86
58.503, 5862.86
58.523, 5862.86
58.543, 5862.86
58.563, 5857.14
58.583, 5857.14
58.603, 5857.14
58.623, 5857.14
58.643, 5857.14
58.663, 5857.14
58.683, 5862.86
58.703, 5862.86
58.723, 5857.14
58.743, 5857.14
58.763, 5857.14
58.783, 5857.14
58.803, 5857.14
58.823, 5857.14
58.843, 5857.14
58.863, 5857.14
58.883, 5862.86
58.903, 5862.86
58.923, 5862.86
58.943, 5857.14
58.963, 5857.14
58.983, 5857.14
59.003, 5857.14
59.023, 5857.14
59.043, 5857.14
59.063, 5857.14
59.083, 5862.86
59.103, 5862.86
59.123, 5857.14
59.143, 5857.14
59.163, 5857.14
59.183, 5857.14
59.203, 5857.14
59.223, 5857.14
59.243, 5857.14
59.263, 5857.14
59.283, 5857.14
59.303, 5857.14
59.323, 5857.14
59.343, 5857.14
59.363, 5857.14
59.383, 5857.14
59.403, 5857.14
59.423, 5857.14
59.443, 5857.14
59.463, 5857.14
59.483, 5857.14
59.503, 5857.14
59.523, 5857.14
59.543, 5857.14
59.563, 5857.14
59.583, 5851.43
59.603, 5851.43
59.623, 5857.14
59.643, 5857.14
59.663, 5857.14
59.683, 5857.14
59.703, 5857.14
59.723, 5857.14
59.743, 5857.14
59.763, 5857.14
59.783, 5857.14
59.803, 5857.14
59.823, 5857.14
59.843, 5857.14
59.863, 5857.14
59.883, 5851.43
59.903, 5851.43
59.923, 5851.43
59.943, 5851.43
59.963, 5857.14
59.983, 5857.14
60.003, 5857.14
60.023, 5857.14
60.043, 5857.14
60.063, 5857.14
60.083, 5857.14
60.103, 5857.14
60.123, 5857.14
60.143, 5857.14
60.163, 5857.14
60.183, 5857.14
60.203, 5857.14
60.223, 5851.43
60.243, 5851.43
60.263, 5851.43
60.283, 5851.43
60.303, 5851.43
60.323, 5851.43
60.343, 5851.43
60.363, 5851.43
60.383, 5851.43
60.403, 5851.43
60.423, 5851.43
60.443, 5851.43
60.463, 5851.43
60.483, 5851.43
60.503, 5851.43
60.523, 5851.43
60.543, 5851.43
60.563, 5851.43
60.583, 5851.43
60.603, 5851.43
60.623, 5851.43
60.643, 5851.43
60.663, 5857.14
60.683, 5857.14
60.703, 5857.14
60.723, 5857.14
60.743, 5857.14
60.763, 5857.14
60.783, 5857.14
60.803, 5857.14
60.823, 5857.14
60.843, 5857.14
60.863, 5857.14
60.883, 5857.14
60.903, 5851.43
60.923, 5851.43
60.943, 5851.43
60.963, 5851.43
60.983, 5851.43
61.003, 5851.43
61.023, 5851.43
61.043, 5851.43
61.063, 5851.43
61.083, 5851.43
61.103, 5851.43
61.123, 5851.43
61.143, 5851.43
61.163, 5851.43
61.183, 5851.43
61.203, 5851.43
61.223, 5851.43
61.243, 5851.43
61.263, 5851.43
61.283, 5851.43
61.303, 5857.14
61.323, 5857.14
61.343, 5857.14
61.363, 5857.14
61.383, 5857.14
61.403, 5857.14
61.423, 5857.14
61.443, 5857.14
61.463, 5857.14
61.483, 5857.14
61.503, 5857.14
61.523, 5857.14
61.543, 5857.14
61.563, 5851.43
61.583, 5851.43
61.603, 5851.43
61.623, 5851.43
61.643, 5851.43
61.663, 5845.72
61.683, 5851.43
61.703, 5851.43
61.723, 5851.43
61.743, 5851.43
61.763, 5851.43
61.783, 5845.71
61.803, 5851.43
61.823, 5851.43
61.843, 5851.43
61.863, 5851.43
61.883, 5851.43
61.903, 5857.14
61.923, 5857.14
61.943, 5851.43
61.963, 5851.43
61.983, 5851.43
62.003, 5851.43
62.023, 5851.43
62.043, 5851.43
62.063, 5845.71
62.083, 5845.71
62.103, 5845.71
62.123, 5845.71
62.143, 5845.71
62.163, 5845.71
62.183, 5845.71
62.203, 5845.71
62.223, 5845.71
62.243, 5845.71
62.263, 5845.71
62.283, 5851.43
62.303, 5851.43
62.323, 5851.43
62.343, 5851.43
62.363, 5851.43
62.383, 5851.43
62.403, 5851.43
62.423, 5851.43
62.443, 5851.43
62.463, 5851.43
62.483, 5851.43
62.503, 5851.43
62.523, 5851.43
62.543, 5851.43
62.563, 5851.43
62.583, 5851.43
62.603, 5851.43
62.623, 5851.43
62.643, 5851.43
62.663, 5851.43
62.683, 5840
62.703, 5840
62.723, 5765.71
62.743, 5548.57
62.763, 5548.57
62.783, 5405.71
62.803, 5325.71
62.823, 5325.71
